Brand,Origin,Characteristics,Preparation Method
Blue Mountain,Araguari,Smooth Finish,Hario V60
Kona,Fazenda Boa Esperança,Balanced,Clever
Typica,Fazenda Monte Verde,Chocolatey,French Press
Bourbon,Araguari,Caramel,Italiana
Caturra,São Sebastião do Paraíso,Earthy,Espresso
Catuai,Lavras,Spicy,Hario V60
SL28,Guaxupé,Nutty,Clever
SL34,Itamogi,Floral,French Press
Pacamara,Fazenda Boa Esperança,Bright Acidity,Italiana
Gesha,Fazenda Paraíso,Citrusy,Espresso
Maragogipe,Santa Rita do Sapucaí,Floral,Hario V60
Mundo Novo,Fazenda Paraíso,Smooth Finish,Clever
Yellow Bourbon,Santa Rita do Sapucaí,Sweet Aftertaste,French Press
Red Bourbon,Santa Rita do Sapucaí,Bright Acidity,Italiana
Ethiopian Heirloom,Fazenda Paraíso,Full Body,Espresso
Villalobos,Três Pontas,Chocolatey,Hario V60
Java,Santa Rita do Sapucaí,Floral,Clever
Blue Mountain,Itamogi,Smooth Finish,French Press
Kona,Guaxupé,Spicy,Italiana
Typica,Fazenda Primavera,Bright Acidity,Espresso
Bourbon,Carmo de Minas,Balanced,Hario V60
Caturra,Fazenda Monte Verde,Full Body,Clever
Catuai,Fazenda Serrinha,Smooth Finish,French Press
SL28,Poços de Caldas,Rich Flavor,Italiana
SL34,Patrocínio,Smokey,Espresso
Pacamara,Patrocínio,Nutty,Hario V60
Gesha,Patrocínio,Sweet Aftertaste,Clever
Maragogipe,Fazenda São Luiz,Full Body,French Press
Mundo Novo,Santa Rita do Sapucaí,Nutty,Italiana
Yellow Bourbon,Fazenda Boa Esperança,Fruity,Espresso
Red Bourbon,Fazenda Boa Esperança,Full Body,Hario V60
Ethiopian Heirloom,Varginha,Bright Acidity,Clever
Villalobos,Fazenda Paraíso,Floral,French Press
Java,São Sebastião do Paraíso,Smooth Finish,Italiana
Blue Mountain,Fazenda Primavera,Caramel,Espresso
Kona,Araguari,Balanced,Hario V60
Typica,Poços de Caldas,Floral,Clever
Bourbon,Fazenda Serrinha,Chocolatey,French Press
Caturra,Três Pontas,Smokey,Italiana
Catuai,Fazenda Paraíso,Nutty,Espresso
SL28,Varginha,Spicy,Hario V60
SL34,Três Pontas,Spicy,Clever
Pacamara,São Sebastião do Paraíso,Citrusy,French Press
Gesha,Carmo de Minas,Floral,Italiana
Maragogipe,Araguari,Spicy,Espresso
Mundo Novo,Fazenda Primavera,Earthy,Hario V60
Yellow Bourbon,Serra Negra,Balanced,Clever
Red Bourbon,São Sebastião do Paraíso,Floral,French Press
Ethiopian Heirloom,Santa Rita do Sapucaí,Smokey,Italiana
Villalobos,Guaxupé,Smokey,Espresso
Java,São Sebastião do Paraíso,Bright Acidity,Hario V60
Blue Mountain,Fazenda Santa Clara,Sweet Aftertaste,Clever
Kona,Poços de Caldas,Balanced,French Press
Typica,Santa Rita do Sapucaí,Nutty,Italiana
Bourbon,Carmo de Minas,Spicy,Espresso
Caturra,Poços de Caldas,Earthy,Hario V60
Catuai,Fazenda Primavera,Fruity,Clever
SL28,Varginha,Rich Flavor,French Press
SL34,Fazenda Paraíso,Nutty,Italiana
Pacamara,Fazenda Serrinha,Citrusy,Espresso
Gesha,Carmo de Minas,Earthy,Hario V60
Maragogipe,Araguari,Smooth Finish,Clever
Mundo Novo,São Sebastião do Paraíso,Full Body,French Press
Yellow Bourbon,Fazenda Monte Verde,Balanced,Italiana
Red Bourbon,Varginha,Smokey,Espresso
Ethiopian Heirloom,Patrocínio,Bright Acidity,Hario V60
Villalobos,Fazenda Vista Alegre,Fruity,Clever
Java,Varginha,Earthy,French Press
Blue Mountain,Fazenda Santa Clara,Bright Acidity,Italiana
Kona,Poços de Caldas,Balanced,Espresso
Typica,Serra Negra,Rich Flavor,Hario V60
Bourbon,São Sebastião do Paraíso,Caramel,Clever
Caturra,Poços de Caldas,Citrusy,French Press
Catuai,Fazenda Paraíso,Caramel,Italiana
SL28,Serra Negra,Nutty,Espresso
SL34,Três Pontas,Earthy,Hario V60
Pacamara,Araguari,Spicy,Clever
Gesha,Santa Rita do Sapucaí,Rich Flavor,French Press
Maragogipe,Serra Negra,Smooth Finish,Italiana
Mundo Novo,Fazenda Primavera,Citrusy,Espresso
Yellow Bourbon,Fazenda Vista Alegre,Full Body,Hario V60
Red Bourbon,Patrocínio,Sweet Aftertaste,Clever
Ethiopian Heirloom,Carmo de Minas,Balanced,French Press
Villalobos,Carmo de Minas,Spicy,Italiana
Java,Fazenda São Luiz,Spicy,Espresso
Blue Mountain,Fazenda Paraíso,Chocolatey,Hario V60
Kona,Santa Rita do Sapucaí,Bright Acidity,Clever
Typica,Fazenda Serrinha,Citrusy,French Press
Bourbon,Varginha,Nutty,Italiana
Caturra,Patrocínio,Floral,Espresso
Catuai,Três Pontas,Bright Acidity,Hario V60
SL28,Três Pontas,Bright Acidity,Clever
SL34,Fazenda São Luiz,Earthy,French Press
Pacamara,Araguari,Citrusy,Italiana
Gesha,Guaxupé,Smokey,Espresso
Maragogipe,Fazenda Vista Alegre,Chocolatey,Hario V60
Mundo Novo,Fazenda Serrinha,Fruity,Clever
Yellow Bourbon,Itamogi,Caramel,French Press
Red Bourbon,São Sebastião do Paraíso,Spicy,Italiana
Ethiopian Heirloom,Fazenda Serrinha,Earthy,Espresso
Villalobos,Fazenda Santa Clara,Earthy,Hario V60
Java,Fazenda Vista Alegre,Sweet Aftertaste,Clever
Blue Mountain,Lavras,Earthy,French Press
Kona,Fazenda Serrinha,Full Body,Italiana
Typica,Três Pontas,Sweet Aftertaste,Espresso
Bourbon,Carmo de Minas,Bright Acidity,Hario V60
Caturra,São Sebastião do Paraíso,Floral,Clever
Catuai,Varginha,Floral,French Press
SL28,Itamogi,Full Body,Italiana
SL34,Serra Negra,Full Body,Espresso
Pacamara,Serra Negra,Smooth Finish,Hario V60
Gesha,Fazenda Monte Verde,Chocolatey,Clever
Maragogipe,Itamogi,Caramel,French Press
Mundo Novo,Fazenda Serrinha,Citrusy,Italiana
Yellow Bourbon,Fazenda Santa Clara,Full Body,Espresso
Red Bourbon,Carmo de Minas,Balanced,Hario V60
Ethiopian Heirloom,São Sebastião do Paraíso,Smooth Finish,Clever
Villalobos,São Sebastião do Paraíso,Caramel,French Press
Java,Poços de Caldas,Smokey,Italiana
Blue Mountain,Fazenda Santa Clara,Sweet Aftertaste,Espresso
Kona,Patrocínio,Full Body,Hario V60
Typica,Fazenda Monte Verde,Nutty,Clever
Bourbon,Fazenda Vista Alegre,Citrusy,French Press
Caturra,Araguari,Sweet Aftertaste,Italiana
Catuai,Araguari,Fruity,Espresso
SL28,Fazenda Boa Esperança,Rich Flavor,Hario V60
SL34,Fazenda Paraíso,Nutty,Clever
Pacamara,Fazenda Primavera,Floral,French Press
Gesha,Fazenda Santa Clara,Bright Acidity,Italiana
Maragogipe,Três Pontas,Sweet Aftertaste,Espresso
Mundo Novo,Itamogi,Full Body,Hario V60
Yellow Bourbon,Fazenda São Luiz,Caramel,Clever
Red Bourbon,Santa Rita do Sapucaí,Sweet Aftertaste,French Press
Ethiopian Heirloom,Poços de Caldas,Smokey,Italiana
Villalobos,Fazenda Monte Verde,Smooth Finish,Espresso
Java,Fazenda Boa Esperança,Rich Flavor,Hario V60
Blue Mountain,Fazenda São Luiz,Smooth Finish,Clever
Kona,Fazenda Primavera,Rich Flavor,French Press
Typica,Fazenda Paraíso,Nutty,Italiana
Bourbon,Varginha,Rich Flavor,Espresso
Caturra,Lavras,Bright Acidity,Hario V60
Catuai,São Sebastião do Paraíso,Full Body,Clever
SL28,Fazenda Paraíso,Spicy,French Press
SL34,Serra Negra,Citrusy,Italiana
Pacamara,Patrocínio,Balanced,Espresso
Gesha,Araguari,Fruity,Hario V60
Maragogipe,Guaxupé,Floral,Clever
Mundo Novo,Poços de Caldas,Smooth Finish,French Press
Yellow Bourbon,Lavras,Rich Flavor,Italiana
Red Bourbon,Patrocínio,Full Body,Espresso
Ethiopian Heirloom,Fazenda Vista Alegre,Caramel,Hario V60
Villalobos,Três Pontas,Citrusy,Clever
Java,Três Pontas,Nutty,French Press
Blue Mountain,Itamogi,Nutty,Italiana
Kona,Poços de Caldas,Citrusy,Espresso
Typica,Araguari,Floral,Hario V60
Bourbon,Carmo de Minas,Spicy,Clever
Caturra,Fazenda São Luiz,Nutty,French Press
Catuai,Araguari,Balanced,Italiana
SL28,Fazenda Monte Verde,Fruity,Espresso
SL34,Carmo de Minas,Caramel,Hario V60
Pacamara,Fazenda Monte Verde,Nutty,Clever
Gesha,Fazenda Monte Verde,Balanced,French Press
Maragogipe,Fazenda Vista Alegre,Chocolatey,Italiana
Mundo Novo,Fazenda Serrinha,Fruity,Espresso
Yellow Bourbon,Santa Rita do Sapucaí,Bright Acidity,Hario V60
Red Bourbon,Santa Rita do Sapucaí,Caramel,Clever
Ethiopian Heirloom,Fazenda Boa Esperança,Balanced,French Press
Villalobos,São Sebastião do Paraíso,Smooth Finish,Italiana
Java,Fazenda Monte Verde,Smokey,Espresso
Blue Mountain,Varginha,Sweet Aftertaste,Hario V60
Kona,Fazenda Primavera,Spicy,Clever
Typica,Fazenda Boa Esperança,Chocolatey,French Press
Bourbon,Fazenda Vista Alegre,Smooth Finish,Italiana
Caturra,Fazenda Vista Alegre,Nutty,Espresso
Catuai,Carmo de Minas,Spicy,Hario V60
SL28,Guaxupé,Smooth Finish,Clever
SL34,Poços de Caldas,Spicy,French Press
Pacamara,Fazenda Boa Esperança,Sweet Aftertaste,Italiana
Gesha,Fazenda Monte Verde,Chocolatey,Espresso
Maragogipe,Fazenda Paraíso,Chocolatey,Hario V60
Mundo Novo,Carmo de Minas,Spicy,Clever
Yellow Bourbon,Poços de Caldas,Smooth Finish,French Press
Red Bourbon,Fazenda Santa Clara,Balanced,Italiana
Ethiopian Heirloom,Fazenda Vista Alegre,Rich Flavor,Espresso
Villalobos,Lavras,Full Body,Hario V60
Java,Fazenda São Luiz,Smooth Finish,Clever
Blue Mountain,Serra Negra,Smooth Finish,French Press
Kona,Fazenda Primavera,Bright Acidity,Italiana
Typica,Santa Rita do Sapucaí,Nutty,Espresso
Bourbon,Fazenda Serrinha,Balanced,Hario V60
Caturra,Itamogi,Rich Flavor,Clever
Catuai,São Sebastião do Paraíso,Floral,French Press
SL28,Santa Rita do Sapucaí,Chocolatey,Italiana
SL34,Poços de Caldas,Chocolatey,Espresso
Pacamara,São Sebastião do Paraíso,Spicy,Hario V60
Gesha,Fazenda Vista Alegre,Caramel,Clever
Maragogipe,Fazenda Vista Alegre,Chocolatey,French Press
Mundo Novo,Fazenda São Luiz,Spicy,Italiana
Yellow Bourbon,Fazenda São Luiz,Chocolatey,Espresso
Red Bourbon,Lavras,Sweet Aftertaste,Hario V60
Ethiopian Heirloom,Varginha,Sweet Aftertaste,Clever
Villalobos,Itamogi,Spicy,French Press
Java,Fazenda Monte Verde,Bright Acidity,Italiana
Blue Mountain,Lavras,Sweet Aftertaste,Espresso
Kona,Fazenda Santa Clara,Citrusy,Hario V60
Typica,Fazenda Paraíso,Fruity,Clever
Bourbon,Poços de Caldas,Fruity,French Press
Caturra,Poços de Caldas,Fruity,Italiana
Catuai,Fazenda Serrinha,Sweet Aftertaste,Espresso
SL28,Itamogi,Citrusy,Hario V60
SL34,Fazenda Boa Esperança,Nutty,Clever
Pacamara,Varginha,Full Body,French Press
Gesha,Fazenda Serrinha,Fruity,Italiana
Maragogipe,Itamogi,Smooth Finish,Espresso
Mundo Novo,Poços de Caldas,Spicy,Hario V60
Yellow Bourbon,Fazenda Monte Verde,Earthy,Clever
Red Bourbon,Fazenda Primavera,Smokey,French Press
Ethiopian Heirloom,Santa Rita do Sapucaí,Floral,Italiana
Villalobos,Fazenda Serrinha,Chocolatey,Espresso
Java,Fazenda Santa Clara,Full Body,Hario V60
Blue Mountain,Três Pontas,Rich Flavor,Clever
Kona,Fazenda Vista Alegre,Nutty,French Press
Typica,Fazenda São Luiz,Sweet Aftertaste,Italiana
Bourbon,Serra Negra,Floral,Espresso
Caturra,Itamogi,Caramel,Hario V60
Catuai,Fazenda Monte Verde,Full Body,Clever
SL28,Carmo de Minas,Balanced,French Press
SL34,Fazenda Santa Clara,Bright Acidity,Italiana
Pacamara,Itamogi,Full Body,Espresso
Gesha,Poços de Caldas,Sweet Aftertaste,Hario V60
Maragogipe,São Sebastião do Paraíso,Balanced,Clever
Mundo Novo,Serra Negra,Smooth Finish,French Press
Yellow Bourbon,Fazenda Boa Esperança,Smooth Finish,Italiana
Red Bourbon,Varginha,Rich Flavor,Espresso
Ethiopian Heirloom,Araguari,Caramel,Hario V60
Villalobos,Poços de Caldas,Citrusy,Clever
Java,Fazenda São Luiz,Chocolatey,French Press
Blue Mountain,Lavras,Citrusy,Italiana
Kona,Lavras,Earthy,Espresso
Typica,Três Pontas,Citrusy,Hario V60
Bourbon,Itamogi,Sweet Aftertaste,Clever
Caturra,Varginha,Bright Acidity,French Press
Catuai,Poços de Caldas,Caramel,Italiana
SL28,Poços de Caldas,Smooth Finish,Espresso
SL34,Carmo de Minas,Full Body,Hario V60
Pacamara,Fazenda São Luiz,Bright Acidity,Clever
Gesha,Poços de Caldas,Earthy,French Press
Maragogipe,Fazenda Vista Alegre,Sweet Aftertaste,Italiana
Mundo Novo,Santa Rita do Sapucaí,Nutty,Espresso
Yellow Bourbon,Fazenda Serrinha,Spicy,Hario V60
Red Bourbon,Itamogi,Citrusy,Clever
Ethiopian Heirloom,Três Pontas,Balanced,French Press
Villalobos,Fazenda Santa Clara,Rich Flavor,Italiana
Java,Araguari,Bright Acidity,Espresso
Blue Mountain,Fazenda Paraíso,Floral,Hario V60
Kona,Três Pontas,Bright Acidity,Clever
Typica,Fazenda Paraíso,Fruity,French Press
Bourbon,Lavras,Rich Flavor,Italiana
Caturra,Fazenda Santa Clara,Smokey,Espresso
Catuai,Patrocínio,Spicy,Hario V60
SL28,Fazenda Monte Verde,Chocolatey,Clever
SL34,Araguari,Earthy,French Press
Pacamara,Fazenda Boa Esperança,Nutty,Italiana
Gesha,Poços de Caldas,Earthy,Espresso
Maragogipe,Fazenda Boa Esperança,Earthy,Hario V60
Mundo Novo,Varginha,Nutty,Clever
Yellow Bourbon,Varginha,Chocolatey,French Press
Red Bourbon,Fazenda São Luiz,Full Body,Italiana
Ethiopian Heirloom,Carmo de Minas,Smokey,Espresso
Villalobos,Fazenda São Luiz,Citrusy,Hario V60
Java,Lavras,Full Body,Clever
Blue Mountain,Poços de Caldas,Balanced,French Press
Kona,Varginha,Fruity,Italiana
Typica,Fazenda Serrinha,Balanced,Espresso
Bourbon,Itamogi,Smokey,Hario V60
Caturra,Carmo de Minas,Smokey,Clever
Catuai,Serra Negra,Balanced,French Press
SL28,Fazenda Boa Esperança,Earthy,Italiana
SL34,Fazenda Boa Esperança,Bright Acidity,Espresso
Pacamara,Lavras,Floral,Hario V60
Gesha,Santa Rita do Sapucaí,Citrusy,Clever
Maragogipe,Fazenda Monte Verde,Chocolatey,French Press
Mundo Novo,Carmo de Minas,Earthy,Italiana
Yellow Bourbon,Patrocínio,Fruity,Espresso
Red Bourbon,Fazenda Paraíso,Chocolatey,Hario V60
Ethiopian Heirloom,Fazenda Paraíso,Sweet Aftertaste,Clever
Villalobos,Carmo de Minas,Floral,French Press
Java,Fazenda Boa Esperança,Smokey,Italiana
Blue Mountain,Patrocínio,Fruity,Espresso
Kona,Serra Negra,Chocolatey,Hario V60
Typica,Serra Negra,Rich Flavor,Clever
Bourbon,Itamogi,Smokey,French Press
Caturra,Araguari,Chocolatey,Italiana
Catuai,Fazenda Boa Esperança,Nutty,Espresso
SL28,Fazenda Primavera,Caramel,Hario V60
SL34,Fazenda Serrinha,Chocolatey,Clever
Pacamara,Serra Negra,Balanced,French Press
Gesha,Santa Rita do Sapucaí,Sweet Aftertaste,Italiana
Maragogipe,Fazenda Primavera,Spicy,Espresso
Mundo Novo,Fazenda Primavera,Smooth Finish,Hario V60
Yellow Bourbon,Três Pontas,Rich Flavor,Clever
Red Bourbon,Serra Negra,Citrusy,French Press
Ethiopian Heirloom,Três Pontas,Nutty,Italiana
Villalobos,Fazenda Santa Clara,Spicy,Espresso
Java,Fazenda Monte Verde,Nutty,Hario V60
Blue Mountain,Varginha,Chocolatey,Clever
Kona,Fazenda Santa Clara,Smooth Finish,French Press
Typica,Fazenda Santa Clara,Caramel,Italiana
Bourbon,São Sebastião do Paraíso,Balanced,Espresso
Caturra,Fazenda Serrinha,Spicy,Hario V60
Catuai,Fazenda Primavera,Smooth Finish,Clever
SL28,Carmo de Minas,Floral,French Press
SL34,Araguari,Smokey,Italiana
Pacamara,Fazenda Monte Verde,Smooth Finish,Espresso
Gesha,Serra Negra,Full Body,Hario V60
Maragogipe,São Sebastião do Paraíso,Chocolatey,Clever
Mundo Novo,Patrocínio,Sweet Aftertaste,French Press
Yellow Bourbon,Fazenda Serrinha,Smooth Finish,Italiana
Red Bourbon,Patrocínio,Spicy,Espresso
Ethiopian Heirloom,Carmo de Minas,Bright Acidity,Hario V60
Villalobos,Patrocínio,Bright Acidity,Clever
Java,Carmo de Minas,Fruity,French Press
Blue Mountain,Guaxupé,Nutty,Italiana
Kona,Fazenda Monte Verde,Nutty,Espresso
Typica,Poços de Caldas,Floral,Hario V60
Bourbon,Itamogi,Chocolatey,Clever
Caturra,Três Pontas,Smooth Finish,French Press
Catuai,São Sebastião do Paraíso,Full Body,Italiana
SL28,Serra Negra,Sweet Aftertaste,Espresso
SL34,Patrocínio,Earthy,Hario V60
Pacamara,Fazenda Boa Esperança,Balanced,Clever
Gesha,Fazenda Serrinha,Rich Flavor,French Press
Maragogipe,Santa Rita do Sapucaí,Earthy,Italiana
Mundo Novo,Poços de Caldas,Chocolatey,Espresso
Yellow Bourbon,Itamogi,Chocolatey,Hario V60
Red Bourbon,Serra Negra,Rich Flavor,Clever
Ethiopian Heirloom,Serra Negra,Smokey,French Press
Villalobos,Três Pontas,Rich Flavor,Italiana
Java,Fazenda Paraíso,Bright Acidity,Espresso
Blue Mountain,Itamogi,Sweet Aftertaste,Hario V60
Kona,Araguari,Earthy,Clever
Typica,Fazenda Vista Alegre,Bright Acidity,French Press
Bourbon,Itamogi,Earthy,Italiana
Caturra,Fazenda Boa Esperança,Chocolatey,Espresso
Catuai,Fazenda Primavera,Rich Flavor,Hario V60
SL28,Fazenda Santa Clara,Smooth Finish,Clever
SL34,Santa Rita do Sapucaí,Citrusy,French Press
Pacamara,Fazenda Boa Esperança,Bright Acidity,Italiana
Gesha,Santa Rita do Sapucaí,Fruity,Espresso
Maragogipe,Carmo de Minas,Smokey,Hario V60
Mundo Novo,Fazenda Serrinha,Citrusy,Clever
Yellow Bourbon,Fazenda Monte Verde,Full Body,French Press
Red Bourbon,Fazenda Paraíso,Full Body,Italiana
Ethiopian Heirloom,Guaxupé,Full Body,Espresso
Villalobos,Fazenda Vista Alegre,Sweet Aftertaste,Hario V60
Java,Lavras,Balanced,Clever
Blue Mountain,Fazenda São Luiz,Caramel,French Press
Kona,Varginha,Fruity,Italiana
Typica,Fazenda Primavera,Full Body,Espresso
Bourbon,Patrocínio,Bright Acidity,Hario V60
Caturra,Fazenda Monte Verde,Full Body,Clever
Catuai,Serra Negra,Rich Flavor,French Press
SL28,Varginha,Citrusy,Italiana
SL34,Fazenda Paraíso,Caramel,Espresso
Pacamara,Fazenda Primavera,Fruity,Hario V60
Gesha,Fazenda Monte Verde,Smokey,Clever
Maragogipe,Serra Negra,Rich Flavor,French Press
Mundo Novo,Fazenda Boa Esperança,Caramel,Italiana
Yellow Bourbon,Fazenda Monte Verde,Spicy,Espresso
Red Bourbon,Fazenda Monte Verde,Floral,Hario V60
Ethiopian Heirloom,Fazenda Primavera,Full Body,Clever
Villalobos,Fazenda Boa Esperança,Balanced,French Press
Java,Guaxupé,Sweet Aftertaste,Italiana
Blue Mountain,Fazenda São Luiz,Full Body,Espresso
Kona,Fazenda Monte Verde,Balanced,Hario V60
Typica,Guaxupé,Citrusy,Clever
Bourbon,Fazenda Santa Clara,Sweet Aftertaste,French Press
Caturra,Guaxupé,Caramel,Italiana
Catuai,Fazenda Paraíso,Floral,Espresso
SL28,Lavras,Caramel,Hario V60
SL34,Serra Negra,Smokey,Clever
Pacamara,Fazenda Vista Alegre,Balanced,French Press
Gesha,Serra Negra,Fruity,Italiana
Maragogipe,Fazenda Monte Verde,Floral,Espresso
Mundo Novo,Guaxupé,Rich Flavor,Hario V60
Yellow Bourbon,Patrocínio,Caramel,Clever
Red Bourbon,Fazenda Primavera,Chocolatey,French Press
Ethiopian Heirloom,Fazenda Serrinha,Smooth Finish,Italiana
Villalobos,Carmo de Minas,Full Body,Espresso
Java,Santa Rita do Sapucaí,Caramel,Hario V60
Blue Mountain,Itamogi,Spicy,Clever
Kona,Fazenda Monte Verde,Chocolatey,French Press
Typica,Itamogi,Bright Acidity,Italiana
Bourbon,Araguari,Balanced,Espresso
Caturra,Fazenda Primavera,Full Body,Hario V60
Catuai,Fazenda Vista Alegre,Citrusy,Clever
SL28,Fazenda Primavera,Spicy,French Press
SL34,Fazenda Vista Alegre,Smooth Finish,Italiana
Pacamara,Três Pontas,Spicy,Espresso
Gesha,Fazenda Paraíso,Full Body,Hario V60
Maragogipe,Patrocínio,Earthy,Clever
Mundo Novo,Fazenda Paraíso,Smokey,French Press
Yellow Bourbon,Fazenda Vista Alegre,Sweet Aftertaste,Italiana
Red Bourbon,Fazenda Monte Verde,Earthy,Espresso
Ethiopian Heirloom,Fazenda Monte Verde,Chocolatey,Hario V60
Villalobos,Serra Negra,Floral,Clever
Java,Carmo de Minas,Bright Acidity,French Press
Blue Mountain,Fazenda Boa Esperança,Smokey,Italiana
Kona,São Sebastião do Paraíso,Balanced,Espresso
Typica,Fazenda Vista Alegre,Smokey,Hario V60
Bourbon,Fazenda Serrinha,Nutty,Clever
Caturra,Fazenda Vista Alegre,Fruity,French Press
Catuai,Fazenda Monte Verde,Spicy,Italiana
SL28,Fazenda Serrinha,Balanced,Espresso
SL34,Guaxupé,Earthy,Hario V60
Pacamara,Fazenda São Luiz,Smooth Finish,Clever
Gesha,Fazenda São Luiz,Citrusy,French Press
Maragogipe,Carmo de Minas,Balanced,Italiana
Mundo Novo,Patrocínio,Smooth Finish,Espresso
Yellow Bourbon,Fazenda Vista Alegre,Earthy,Hario V60
Red Bourbon,Três Pontas,Caramel,Clever
Ethiopian Heirloom,Fazenda Paraíso,Spicy,French Press
Villalobos,Poços de Caldas,Fruity,Italiana
Java,Fazenda Serrinha,Chocolatey,Espresso
Blue Mountain,Três Pontas,Caramel,Hario V60
Kona,Fazenda Monte Verde,Nutty,Clever
Typica,Varginha,Rich Flavor,French Press
Bourbon,São Sebastião do Paraíso,Sweet Aftertaste,Italiana
Caturra,Araguari,Citrusy,Espresso
Catuai,Fazenda Paraíso,Rich Flavor,Hario V60
SL28,Santa Rita do Sapucaí,Rich Flavor,Clever
SL34,São Sebastião do Paraíso,Rich Flavor,French Press
Pacamara,Patrocínio,Earthy,Italiana
Gesha,Araguari,Balanced,Espresso
Maragogipe,Três Pontas,Fruity,Hario V60
Mundo Novo,Poços de Caldas,Spicy,Clever
Yellow Bourbon,Serra Negra,Citrusy,French Press
Red Bourbon,Fazenda São Luiz,Full Body,Italiana
Ethiopian Heirloom,Lavras,Nutty,Espresso
Villalobos,Fazenda Santa Clara,Smooth Finish,Hario V60
Java,Guaxupé,Smokey,Clever
Blue Mountain,Fazenda Monte Verde,Fruity,French Press
Kona,Fazenda Serrinha,Chocolatey,Italiana
Typica,Varginha,Balanced,Espresso
Bourbon,Fazenda Monte Verde,Citrusy,Hario V60
Caturra,Araguari,Bright Acidity,Clever
Catuai,Guaxupé,Rich Flavor,French Press
SL28,Varginha,Full Body,Italiana
SL34,Araguari,Smooth Finish,Espresso
Pacamara,Araguari,Chocolatey,Hario V60
Gesha,Guaxupé,Balanced,Clever
Maragogipe,Fazenda Vista Alegre,Smooth Finish,French Press
Mundo Novo,Fazenda São Luiz,Spicy,Italiana
Yellow Bourbon,Varginha,Full Body,Espresso
Red Bourbon,Fazenda Paraíso,Citrusy,Hario V60
Ethiopian Heirloom,Poços de Caldas,Bright Acidity,Clever
Villalobos,Fazenda Santa Clara,Sweet Aftertaste,French Press
Java,Araguari,Rich Flavor,Italiana
Blue Mountain,Fazenda Primavera,Chocolatey,Espresso
Kona,Itamogi,Caramel,Hario V60
Typica,Serra Negra,Smooth Finish,Clever
Bourbon,Fazenda São Luiz,Bright Acidity,French Press
Caturra,Fazenda Serrinha,Caramel,Italiana
Catuai,Guaxupé,Balanced,Espresso
SL28,Carmo de Minas,Floral,Hario V60
SL34,Poços de Caldas,Fruity,Clever
Pacamara,Poços de Caldas,Balanced,French Press
Gesha,Serra Negra,Spicy,Italiana
Maragogipe,Fazenda Santa Clara,Earthy,Espresso
Mundo Novo,Serra Negra,Bright Acidity,Hario V60
Yellow Bourbon,Patrocínio,Chocolatey,Clever
Red Bourbon,Santa Rita do Sapucaí,Bright Acidity,French Press
Ethiopian Heirloom,Serra Negra,Chocolatey,Italiana
Villalobos,Patrocínio,Chocolatey,Espresso
Java,Araguari,Smooth Finish,Hario V60
Blue Mountain,Fazenda Serrinha,Balanced,Clever
Kona,Poços de Caldas,Fruity,French Press
Typica,Fazenda Boa Esperança,Caramel,Italiana
Bourbon,Três Pontas,Floral,Espresso
Caturra,Carmo de Minas,Caramel,Hario V60
Catuai,Santa Rita do Sapucaí,Smooth Finish,Clever
SL28,Itamogi,Floral,French Press
SL34,Serra Negra,Chocolatey,Italiana
Pacamara,Araguari,Bright Acidity,Espresso
Gesha,Três Pontas,Spicy,Hario V60
Maragogipe,Santa Rita do Sapucaí,Spicy,Clever
Mundo Novo,Fazenda Serrinha,Sweet Aftertaste,French Press
Yellow Bourbon,Araguari,Citrusy,Italiana
Red Bourbon,Serra Negra,Chocolatey,Espresso
Ethiopian Heirloom,Três Pontas,Caramel,Hario V60
Villalobos,Varginha,Citrusy,Clever
Java,Fazenda Vista Alegre,Smokey,French Press
Blue Mountain,Fazenda Santa Clara,Chocolatey,Italiana
Kona,Itamogi,Bright Acidity,Espresso
Typica,Fazenda Primavera,Citrusy,Hario V60
Bourbon,Fazenda Monte Verde,Citrusy,Clever
Caturra,Fazenda Primavera,Fruity,French Press
Catuai,Fazenda Vista Alegre,Sweet Aftertaste,Italiana
SL28,Lavras,Sweet Aftertaste,Espresso
SL34,Fazenda Primavera,Full Body,Hario V60
Pacamara,Fazenda Monte Verde,Balanced,Clever
Gesha,Serra Negra,Floral,French Press
Maragogipe,Fazenda Monte Verde,Smooth Finish,Italiana
Mundo Novo,Fazenda Monte Verde,Chocolatey,Espresso
Yellow Bourbon,Fazenda Primavera,Smokey,Hario V60
Red Bourbon,Fazenda São Luiz,Caramel,Clever
Ethiopian Heirloom,Serra Negra,Smokey,French Press
Villalobos,Santa Rita do Sapucaí,Bright Acidity,Italiana
Java,Fazenda Primavera,Rich Flavor,Espresso
Blue Mountain,Santa Rita do Sapucaí,Nutty,Hario V60
Kona,Fazenda São Luiz,Bright Acidity,Clever
Typica,Guaxupé,Floral,French Press
Bourbon,Santa Rita do Sapucaí,Rich Flavor,Italiana
Caturra,Três Pontas,Full Body,Espresso
Catuai,Serra Negra,Smokey,Hario V60
SL28,Fazenda Santa Clara,Earthy,Clever
SL34,Fazenda São Luiz,Rich Flavor,French Press
Pacamara,Serra Negra,Smooth Finish,Italiana
Gesha,Lavras,Fruity,Espresso
Maragogipe,Guaxupé,Floral,Hario V60
Mundo Novo,Três Pontas,Floral,Clever
Yellow Bourbon,Araguari,Smokey,French Press
Red Bourbon,Fazenda Monte Verde,Citrusy,Italiana
Ethiopian Heirloom,Itamogi,Full Body,Espresso
